filename,start,end,set type
101.txt,40603,41930,Training
101.txt,115124,115478,Training
103.txt,413367,468219,Training
103.txt,478385,594882,Training
103.txt,392322,395437,Test
105.txt,111358,112560,Training
105.txt,582750,583823,Training
105.txt,30739,31306,Training
105.txt,413370,413921,Training
105.txt,450945,453472,Training
105.txt,457830,462854,Training
105.txt,240638,246059,Training
105.txt,365699,372064,Training
105.txt,426333,429547,Training
105.txt,433555,433976,Training
105.txt,372992,383055,Training
105.txt,478528,478919,Training
105.txt,88748,98621,Training
105.txt,210242,212080,Training
105.txt,315337,315505,Training
105.txt,633956,634381,Training
105.txt,277816,305213,Training
105.txt,472412,472828,Training
105.txt,592487,595042,Training
105.txt,612652,617196,Training
105.txt,514636,515841,Training
105.txt,541978,542718,Training
105.txt,539862,540110,Training
105.txt,405021,407036,Training
105.txt,562050,563953,Training
105.txt,351991,364047,Training
105.txt,248880,274936,Training
105.txt,307748,313878,Training
105.txt,386438,397774,Test
105.txt,417701,420191,Test
105.txt,383254,385535,Test
105.txt,618935,619834,Test
105.txt,398994,399391,Test
105.txt,628467,629226,Test
105.txt,123248,124200,Test
105.txt,225231,225457,Test
105.txt,595428,598115,Validation
105.txt,228316,237772,Validation
105.txt,198753,201161,Validation
105.txt,102556,106663,Validation
105.txt,454933,456815,Validation
105.txt,486665,489074,Validation
105.txt,606099,611946,Validation
105.txt,464520,466388,Validation
106.txt,632449,646407,Training
106.txt,56376,59595,Training
106.txt,63389,69758,Training
106.txt,163279,164589,Training
106.txt,213630,229183,Training
106.txt,173105,183259,Training
106.txt,153566,154535,Training
106.txt,511563,561138,Training
106.txt,579685,610990,Training
106.txt,393747,412042,Training
106.txt,235337,257770,Test
106.txt,22494,32450,Test
106.txt,261287,331036,Test
106.txt,346145,374986,Validation
106.txt,83,13754,Validation
108.txt,9924,10519,Validation
108.txt,46506,49153,Validation
108.txt,49480,78330,Validation
108.txt,89517,162001,Validation
108.txt,163040,179895,Validation
108.txt,180712,252926,Validation
109.txt,565592,570647,Training
111.txt,59551,60780,Training
111.txt,592810,593958,Training
111.txt,429851,432438,Test
111.txt,66252,67883,Test
112.txt,296205,296720,Training
112.txt,290683,294485,Training
112.txt,244539,250194,Training
112.txt,274057,281633,Validation
112.txt,298601,300521,Validation
114.txt,205200,206945,Training
114.txt,239232,240663,Test
114.txt,434605,435972,Test
115.txt,464021,467353,Training
116.txt,505376,506110,Training
116.txt,500548,503762,Training
116.txt,487532,491457,Validation
116.txt,360124,361268,Validation
117.txt,258119,258464,Training
118.txt,269262,269712,Training
118.txt,579230,585083,Training
118.txt,621591,622066,Training
118.txt,588576,590575,Training
118.txt,130814,133045,Validation
118.txt,93918,95150,Validation
119.txt,434464,440729,Training
119.txt,552115,556704,Training
121.txt,556476,558798,Training
121.txt,628697,629412,Training
121.txt,562564,564871,Training
121.txt,76642,87031,Test
121.txt,559315,562123,Test
121.txt,595291,596543,Validation
124.txt,197744,202433,Validation
200.txt,270768,322512,Training
200.txt,411391,413149,Training
200.txt,353351,362046,Training
200.txt,129532,130152,Training
200.txt,85611,109752,Training
200.txt,79269,83073,Training
200.txt,138930,139595,Training
200.txt,222054,223744,Training
200.txt,642809,645116,Training
200.txt,347954,351817,Training
200.txt,208061,211925,Test
200.txt,224948,225962,Test
200.txt,218313,219498,Test
200.txt,335767,342982,Test
200.txt,486532,488283,Test
200.txt,213565,217800,Test
200.txt,115732,116323,Validation
200.txt,445417,456817,Validation
200.txt,122110,124430,Validation
200.txt,228676,250853,Validation
200.txt,172987,175625,Validation
201.txt,396465,397228,Training
201.txt,395181,395610,Validation
203.txt,200391,209771,Training
203.txt,333230,372163,Training
203.txt,538116,539636,Training
203.txt,15847,17814,Training
203.txt,514899,532601,Training
203.txt,324927,329813,Training
203.txt,506961,509025,Training
203.txt,317961,322872,Training
203.txt,222810,224433,Training
203.txt,217889,222018,Training
203.txt,34176,37404,Training
203.txt,140400,141384,Training
203.txt,186465,191899,Training
203.txt,199185,199777,Training
203.txt,298488,299148,Training
203.txt,268015,279154,Training
203.txt,173301,176701,Training
203.txt,332203,332744,Test
203.txt,148743,153701,Test
