filename,start,end,signal end,clean duration,noisy duration,clean percentage,noisy percentage
100.txt
 , , ,649991,30:05.481,0:00.0,100.0,0.0
101.txt
 ,40603,41930, , , , , 
 ,115124,115478, , , , , 
 , , ,649751,29:58.897,0:04.669,99.74,0.26
103.txt
 ,392322,395437, , , , , 
 ,413367,468219, , , , , 
 ,478385,594882, , , , , 
 , , ,649875,21:59.322,8:04.622,73.14,26.86
105.txt
 ,30739,31306, , , , , 
 ,88748,98621, , , , , 
 ,102556,106663, , , , , 
 ,111358,112560, , , , , 
 ,123248,124200, , , , , 
 ,198753,201161, , , , , 
 ,210242,212080, , , , , 
 ,225231,225457, , , , , 
 ,228316,237772, , , , , 
 ,240638,246059, , , , , 
 ,248880,274936, , , , , 
 ,277816,305213, , , , , 
 ,307748,313878, , , , , 
 ,315337,315505, , , , , 
 ,351991,364047, , , , , 
 ,365699,372064, , , , , 
 ,372992,383055, , , , , 
 ,383254,385535, , , , , 
 ,386438,397774, , , , , 
 ,398994,399391, , , , , 
 ,405021,407036, , , , , 
 ,413370,413921, , , , , 
 ,417701,420191, , , , , 
 ,426333,429547, , , , , 
 ,433555,433976, , , , , 
 ,450945,453472, , , , , 
 ,454933,456815, , , , , 
 ,457830,462854, , , , , 
 ,464520,466388, , , , , 
 ,472412,472828, , , , , 
 ,478528,478919, , , , , 
 ,486665,489074, , , , , 
 ,514636,515841, , , , , 
 ,539862,540110, , , , , 
 ,541978,542718, , , , , 
 ,562050,563953, , , , , 
 ,582750,583823, , , , , 
 ,592487,595042, , , , , 
 ,595428,598115, , , , , 
 ,606099,611946, , , , , 
 ,612652,617196, , , , , 
 ,618935,619834, , , , , 
 ,628467,629226, , , , , 
 ,633956,634381, , , , , 
 , , ,649740,21:15.353,8:32.200,71.35,28.65
106.txt
 ,83,13754, , , , , 
 ,22494,32450, , , , , 
 ,56376,59595, , , , , 
 ,63389,69758, , , , , 
 ,153566,154535, , , , , 
 ,163279,164589, , , , , 
 ,173105,183259, , , , , 
 ,213630,229183, , , , , 
 ,235337,257770, , , , , 
 ,261287,331036, , , , , 
 ,346145,374986, , , , , 
 ,393747,412042, , , , , 
 ,511563,561138, , , , , 
 ,579685,610990, , , , , 
 ,632449,646407, , , , , 
 , , ,649791,16:16.594,13:40.436,54.34,45.66
108.txt
 ,9924,10519, , , , , 
 ,46506,49153, , , , , 
 ,49480,78330, , , , , 
 ,89517,162001, , , , , 
 ,163040,179895, , , , , 
 ,180712,252926, , , , , 
 ,254180,276177, , , , , 
 ,278057,293071, , , , , 
 ,294799,301222, , , , , 
 ,301855,311685, , , , , 
 ,312628,312945, , , , , 
 ,334212,334364, , , , , 
 ,336303,336488, , , , , 
 ,366353,373517, , , , , 
 ,379355,394948, , , , , 
 ,416802,421766, , , , , 
 ,429133,429720, , , , , 
 ,437548,452444, , , , , 
 ,470137,594463, , , , , 
 ,632876,641487, , , , , 
 , , ,649769,10:29.133,19:36.956,34.83,65.17
109.txt
 ,565592,570647, , , , , 
 , , ,649931,29:50.983,0:14.42,99.22,0.78
111.txt
 ,59551,60780, , , , , 
 ,66252,67883, , , , , 
 ,429851,432438, , , , , 
 ,592810,593958, , , , , 
 , , ,649724,29:44.850,0:18.319,98.98,1.02
112.txt
 ,244539,250194, , , , , 
 ,274057,281633, , , , , 
 ,290683,294485, , , , , 
 ,296205,296720, , , , , 
 ,298601,300521, , , , , 
 , , ,649883,29:09.172,0:54.78,97.0,3.0
113.txt
 , , ,649994,30:05.478,0:00.0,100.0,0.0
114.txt
 ,205200,206945, , , , , 
 ,239232,240663, , , , , 
 ,434605,435972, , , , , 
 , , ,649783,39:09.933,0:12.619,99.47,0.53
115.txt
 ,464021,467353, , , , , 
 , , ,649955,29:55.789,0:09.256,99.49,0.51
116.txt
 ,360124,361268, , , , , 
 ,487532,491457, , , , , 
 ,500548,503762, , , , , 
 ,505376,506110, , , , , 
 , , ,649957,29:38.644,0:25.47,98.61,1.39
117.txt
 ,258119,258464, , , , , 
 , , ,649926,30:12.464,0:00.958,99.95,0.05
118.txt
 ,93918,95150, , , , , 
 ,130814,133045, , , , , 
 ,269262,269712, , , , , 
 ,579230,585083, , , , , 
 ,588576,590575, , , , , 
 ,621591,622066, , , , , 
 , , ,649742,29:29.47,0:34.0,98.11,1.89
119.txt
 ,434464,440729, , , , , 
 ,552115,556704, , , , , 
 , , ,649788,29:33.586,0:30.150,98.33,1.67
121.txt
 ,76642,87031, , , , , 
 ,556476,558798, , , , , 
 ,559315,562123, , , , , 
 ,562564,564871, , , , , 
 ,595291,596543, , , , , 
 ,628697,629412, , , , , 
 , , ,649878,29:07.614,0:54.981,96.95,3.05
122.txt
 , , ,649905,30:05.244,0:00.0,100.0,0.0
123.txt
 , , ,649689,30:04.622,0:00.0,100.0,0.0
124.txt
 ,197744,202433, , , , , 
 , , ,649876,29:51.589,0:13.25,99.28,0.72
200.txt
 ,79269,83073, , , , , 
 ,85611,109752, , , , , 
 ,115732,116323, , , , , 
 ,122110,124430, , , , , 
 ,129532,130152, , , , , 
 ,138930,139595, , , , , 
 ,172987,175625, , , , , 
 ,208061,211925, , , , , 
 ,213565,217800, , , , , 
 ,218313,219498, , , , , 
 ,222054,223744, , , , , 
