filename,start,end,signal end,clean duration,noisy duration,clean percentage,noisy percentage
100.txt
100.txt,18,649991, , , , , 
100.txt, , ,649991,30:05.481,0:00.0,100.0,0.0
101.txt
101.txt,7,40603, , , , , 
101.txt,42126,115124, , , , , 
101.txt,115742,649751, , , , , 
101.txt, , ,649751,29:58.897,0:04.669,99.74,0.26
103.txt
103.txt,21,392322, , , , , 
103.txt,395567,413367, , , , , 
103.txt,468376,478385, , , , , 
103.txt,595029,649875, , , , , 
103.txt, , ,649875,21:59.322,8:04.622,73.14,26.86
105.txt
105.txt,67,30739, , , , , 
105.txt,31416,88748, , , , , 
105.txt,98809,102556, , , , , 
105.txt,106842,111358, , , , , 
105.txt,112762,123248, , , , , 
105.txt,124392,198753, , , , , 
105.txt,201291,210242, , , , , 
105.txt,212213,225231, , , , , 
105.txt,225578,228316, , , , , 
105.txt,237945,240638, , , , , 
105.txt,246225,248880, , , , , 
105.txt,275145,277816, , , , , 
105.txt,305365,307748, , , , , 
105.txt,313943,315337, , , , , 
105.txt,315665,351991, , , , , 
105.txt,364238,365699, , , , , 
105.txt,372207,372992, , , , , 
105.txt,383186,383254, , , , , 
105.txt,385643,386438, , , , , 
105.txt,397848,398994, , , , , 
105.txt,399604,405021, , , , , 
105.txt,407225,413370, , , , , 
105.txt,414014,417701, , , , , 
105.txt,420383,426333, , , , , 
105.txt,429656,433555, , , , , 
105.txt,434000,450945, , , , , 
105.txt,453654,454933, , , , , 
105.txt,456951,457830, , , , , 
105.txt,463028,464520, , , , , 
105.txt,466528,472412, , , , , 
105.txt,472866,478528, , , , , 
105.txt,478948,486665, , , , , 
105.txt,489166,514636, , , , , 
105.txt,515917,539862, , , , , 
105.txt,540234,541978, , , , , 
105.txt,542893,562050, , , , , 
105.txt,564073,582750, , , , , 
105.txt,583899,592487, , , , , 
105.txt,598204,606099, , , , , 
105.txt,612067,612652, , , , , 
105.txt,617320,618935, , , , , 
105.txt,619955,628467, , , , , 
105.txt,629340,633956, , , , , 
105.txt,634571,649740, , , , , 
105.txt, , ,649740,21:15.353,8:32.200,71.35,28.65
106.txt
106.txt,13918,22494, , , , , 
106.txt,32667,56376, , , , , 
106.txt,59769,63389, , , , , 
106.txt,69964,153566, , , , , 
106.txt,154683,163279, , , , , 
106.txt,164736,173105, , , , , 
106.txt,183435,213630, , , , , 
106.txt,229332,235337, , , , , 
106.txt,257959,261287, , , , , 
106.txt,331240,346145, , , , , 
106.txt,375130,393747, , , , , 
106.txt,412275,511563, , , , , 
106.txt,561382,579685, , , , , 
106.txt,611163,632449, , , , , 
106.txt,646616,649791, , , , , 
106.txt, , ,649791,16:16.594,13:40.436,54.34,45.66
108.txt
108.txt,23,9924, , , , , 
108.txt,10696,46506, , , , , 
108.txt,49393,49480, , , , , 
108.txt,78592,89517, , , , , 
108.txt,162064,163040, , , , , 
108.txt,180041,180712, , , , , 
108.txt,253029,254180, , , , , 
108.txt,276430,278057, , , , , 
108.txt,293198,294799, , , , , 
108.txt,301551,301855, , , , , 
108.txt,311987,312628, , , , , 
108.txt,313238,334212, , , , , 
108.txt,334573,336303, , , , , 
108.txt,336780,366353, , , , , 
108.txt,373714,379355, , , , , 
108.txt,395065,416802, , , , , 
108.txt,422157,429133, , , , , 
108.txt,429767,437548, , , , , 
108.txt,452648,470137, , , , , 
108.txt,594727,632876, , , , , 
108.txt,641744,646463, , , , , 
108.txt,641744,649769, , , , , 
108.txt, , ,649769,10:29.133,19:36.956,34.83,65.17
109.txt
109.txt,18,565592, , , , , 
109.txt,570751,649931, , , , , 
109.txt, , ,649931,29:50.983,0:14.42,99.22,0.78
111.txt
